# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000287409.1	AC004936.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287410.1	AL161941.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287411.1	AL031259.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287412.1	AP001591.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287413.1	AL449363.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287414.1	AC093787.2	lncRNA	18	12	6	0.2531	0.0769	0.0799
ENSG00000287415.1	AC099541.2	lncRNA	10	7	3	0.2132	0.0648	0.0673
ENSG00000287416.1	AC093746.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287417.1	AC006059.4	lncRNA	7	6	1	0.2138	0.0649	0.0675
ENSG00000287418.1	AC013439.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287419.1	AL121929.3	lncRNA	11	7	4	0.2325	0.0706	0.0734
ENSG00000287420.1	AL590068.4	lncRNA	0	0	1	0.0000	0.0000	0.0000
ENSG00000287421.1	AC131237.1	lncRNA	2	2	0	0.0845	0.0256	0.0267
ENSG00000287422.1	AL442071.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287423.1	AL360006.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287424.1	AC080079.2	lncRNA	1	1	0	0.0039	0.0012	0.0012
ENSG00000287425.1	AP003717.4	lncRNA	2	2	0	0.0388	0.0118	0.0123
ENSG00000287426.1	AP003327.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287427.1	AL390236.1	lncRNA	1	0	1	0.0204	0.0062	0.0064
ENSG00000287428.1	AL139280.2	lncRNA	1	0	1	0.0301	0.0091	0.0095
ENSG00000287429.1	AC009121.4	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287430.1	AL136090.2	lncRNA	60	32	28	1.3283	0.4034	0.4192
ENSG00000287431.1	AC027601.5	lncRNA	14	2	13	0.0847	0.0257	0.0267
ENSG00000287432.1	AC244035.4	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287433.1	AC107222.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287434.1	AC109133.1	lncRNA	1	3	3	0.0423	0.0129	0.0134
ENSG00000287435.1	AC069404.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287437.1	AL161662.1	lncRNA	3	53	64	0.0459	0.0140	0.0145
ENSG00000287438.1	AL356313.1	lncRNA	1185	573	612	40.0633	12.1668	12.6446
ENSG00000287439.1	AC092078.3	lncRNA	1	0	1	0.0102	0.0031	0.0032
ENSG00000287440.1	AC063919.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287441.1	AC131956.3	lncRNA	2	1	1	0.1909	0.0580	0.0603
ENSG00000287442.1	AC079460.2	lncRNA	9	3	6	0.3808	0.1157	0.1202
ENSG00000287443.1	AL357558.3	lncRNA	0	382	338	0.0000	0.0000	0.0000
ENSG00000287444.1	AC007610.5	lncRNA	3	2	1	0.1115	0.0339	0.0352
ENSG00000287445.1	AC092803.3	lncRNA	5	2	3	0.1188	0.0361	0.0375
ENSG00000287446.1	AC007731.5	lncRNA	20	9	11	0.7449	0.2262	0.2351
ENSG00000287447.1	AC099501.1	lncRNA	5	3	2	0.0642	0.0195	0.0203
ENSG00000287448.1	AC018558.7	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287449.1	AC108019.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287450.1	AL117352.1	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000287451.1	AC016721.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287452.2	AL391477.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287453.1	AL359894.1	lncRNA	2	2	0	0.1495	0.0454	0.0472
ENSG00000287454.1	AC008149.2	lncRNA	4	1	3	0.0349	0.0106	0.0110
ENSG00000287455.1	AC092793.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287456.1	AL157369.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287457.1	AC005821.2	lncRNA	10	4	6	0.2953	0.0897	0.0932
ENSG00000287458.1	AL033519.5	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287459.1	AL512356.5	lncRNA	1	0	1	0.0534	0.0162	0.0168
ENSG00000287460.1	AL442636.1	lncRNA	2	1	1	0.0181	0.0055	0.0057
ENSG00000287462.1	AC068442.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287463.1	AC110620.2	lncRNA	12	5	7	0.1426	0.0433	0.0450
ENSG00000287464.1	AC100810.7	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287465.1	AL358053.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287466.1	AL355531.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287467.1	AC037459.4	lncRNA	6	4	2	0.1909	0.0580	0.0603
ENSG00000287468.1	AC007317.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000287469.1	AC044798.3	lncRNA	1	1	0	0.0091	0.0028	0.0029
